이름,연도,dWAR,타석,홈런,타율,출루,장타,war,연봉
김하성,18  SS,1.97,576,20,0.288,0.358,0.474,5.13,32000
안치홍,18  2B,0.11,549,23,0.342,0.392,0.563,5.01,32000
오지환,18  SS,2.54,617,11,0.278,0.354,0.396,4.97,29000
러프,18  1B,-1.15,597,33,0.33,0.419,0.605,4.77,140000
오재일,18  1B,0.37,477,27,0.279,0.373,0.539,4.74,30000
이정후,18  CF,0.05,520,6,0.355,0.412,0.477,4.54,11000
오재원,18  2B,1.13,521,15,0.313,0.369,0.463,4.51,55000
김재호,18  SS,0.88,467,16,0.311,0.39,0.48,4.26,65000
허경민,18  3B,0.71,577,10,0.324,0.376,0.459,4.23,26500
한동민,18  RF,-0.14,562,41,0.284,0.367,0.601,4.17,15000
민병헌,18  CF,0.97,494,17,0.318,0.374,0.481,4.16,100000
유강남,18  C,1.03,465,19,0.296,0.352,0.508,4.15,18500
최형우,18  LF,-1.65,609,25,0.339,0.414,0.549,4.1,150000
최정,18  3B,0.56,489,35,0.244,0.368,0.547,3.73,120000
황재균,18  3B,0.08,588,25,0.296,0.358,0.526,3.59,120000
박해민,18  CF,0.84,649,9,0.299,0.36,0.432,3.44,29000
구자욱,18  RF,-0.72,529,20,0.333,0.392,0.533,3.31,25000
박건우,18  CF,-0.17,529,12,0.326,0.373,0.473,3.25,37000
박민우,18  2B,0.41,460,5,0.324,0.383,0.438,3.17,32000
이형종,18  LF,-0.39,485,13,0.316,0.377,0.467,3.09,10500
노수광,18  RF,-0.03,588,8,0.313,0.383,0.431,3.0,13000
이명기,18  RF,1.07,502,4,0.302,0.363,0.418,2.83,25000
번즈,18  2B,0.67,505,23,0.268,0.329,0.513,2.79,73000
이성열,18  DH,-0.89,528,34,0.295,0.347,0.553,2.69,25000
채은성,18  RF,-2.43,578,25,0.331,0.379,0.548,2.67,11000
유한준,18  RF,-1.45,480,20,0.339,0.406,0.533,2.66,60000
나지완,18  DH,-0.52,379,26,0.271,0.377,0.574,2.65,60000
박경수,18  2B,-0.01,528,25,0.262,0.354,0.472,2.48,23000
버나디나,18  CF,-1.5,590,20,0.31,0.395,0.487,2.48,75000
김민성,18  3B,0.84,465,10,0.283,0.351,0.414,2.41,35000
이원석,18  3B,-0.98,543,20,0.301,0.374,0.493,2.39,30000
강민호,18  C,0.85,477,22,0.269,0.331,0.457,2.29,125000
송광민,18  3B,-0.03,460,18,0.297,0.328,0.477,2.18,24000
이용규,18  CF,0.27,575,1,0.293,0.379,0.332,2.15,40000
김민식,18  C,1.27,365,6,0.245,0.333,0.352,1.97,15000
최재훈,18  C,1.44,341,1,0.262,0.337,0.329,1.91,8000
김주찬,18  1B,-1.45,471,18,0.34,0.375,0.52,1.85,40000
김선빈,18  SS,-0.03,492,4,0.295,0.374,0.373,1.85,28000
김혜성,18  2B,0.92,473,5,0.27,0.328,0.367,1.72,2900
김성욱,18  CF,0.97,358,13,0.26,0.32,0.433,1.71,10500
노진혁,18  SS,0.57,458,11,0.283,0.337,0.431,1.71,4300
박용택,18  DH,-1.45,583,15,0.303,0.362,0.466,1.71,80000
초이스,18  RF,-0.57,397,17,0.258,0.335,0.458,1.69,60000
권희동,18  LF,0.35,391,8,0.283,0.352,0.414,1.66,13000
임병욱,18  CF,0.12,447,13,0.293,0.327,0.468,1.65,5000
이천웅,18  LF,-0.66,405,2,0.34,0.407,0.435,1.6,8000
심우준,18  3B,2.2,403,4,0.259,0.304,0.371,1.56,6300
이재원,18  C,-2.12,471,17,0.329,0.405,0.514,1.56,35000
이범호,18  3B,-0.64,380,20,0.28,0.366,0.482,1.56,65000
양석환,18  1B,-0.25,519,22,0.263,0.303,0.455,1.47,16000
스크럭스,18  1B,-1.16,571,26,0.257,0.343,0.483,1.45,70000
신본기,18  SS,-0.19,479,11,0.294,0.357,0.442,1.44,9000
정주현,18  2B,0.51,339,6,0.261,0.324,0.38,1.38,5000
나주환,18  SS,0.12,420,12,0.262,0.339,0.428,1.26,30000
박석민,18  3B,-0.64,375,16,0.255,0.36,0.456,1.11,75000
이택근,18  CF,-0.99,356,4,0.308,0.385,0.435,1.03,50000
정근우,18  2B,-1.22,425,11,0.304,0.377,0.461,1.0,70000
하주석,18  SS,1.26,517,9,0.254,0.3,0.364,0.96,12000
이진영,18  DH,-0.27,312,3,0.318,0.37,0.417,0.87,40000
김동엽,18  LF,-0.32,446,27,0.252,0.285,0.48,0.84,11500
모창민,18  3B,-0.66,314,17,0.279,0.328,0.498,0.83,18500
김헌곤,18  LF,-1.9,586,11,0.3,0.375,0.423,0.74,8500
오태곤,18  1B,0.1,374,12,0.254,0.31,0.421,0.68,8300
문규현,18  SS,0.35,349,6,0.275,0.309,0.399,0.52,18000
박한이,18  RF,-0.79,392,10,0.284,0.363,0.418,0.46,25000
김규민,18  LF,-0.57,336,3,0.295,0.361,0.369,0.39,2900
장성우,18  C,-0.03,393,13,0.258,0.321,0.404,0.3,7300
김성현,18  2B,-0.27,462,4,0.277,0.336,0.357,0.29,25000
최원준,18  SS,-0.09,331,4,0.272,0.324,0.364,0.18,7500
채태인,18  1B,-1.08,420,15,0.293,0.356,0.46,0.14,20000
김상수,18  SS,0.22,499,10,0.263,0.314,0.362,0.0,24000
고종욱,18  LF,-0.68,351,6,0.279,0.309,0.4,-0.22,11000
김재환,17  LF,-0.72,636,35,0.34,0.429,0.603,7.71,20000
김하성,17  SS,2.66,601,23,0.302,0.376,0.513,7.12,22000
최정,17  3B,1.4,527,46,0.316,0.427,0.684,7.1,120000
나성범,17  RF,1.09,561,24,0.347,0.415,0.584,6.86,35000
손아섭,17  RF,0.37,667,20,0.335,0.42,0.514,6.25,65000
박건우,17  CF,-0.42,543,20,0.366,0.424,0.582,6.06,19500
최형우,17  LF,-1.53,629,26,0.342,0.45,0.576,5.82,150000
구자욱,17  RF,0.0,647,21,0.31,0.383,0.527,5.26,16000
김선빈,17  SS,0.95,529,5,0.37,0.42,0.477,5.22,8000
로사리오,17  1B,-1.48,510,37,0.339,0.414,0.661,4.93,150000
박민우,17  2B,0.31,452,3,0.363,0.441,0.472,4.84,25000
스크럭스,17  1B,-0.7,518,35,0.3,0.402,0.595,4.8,80000
오재일,17  1B,-0.26,466,26,0.306,0.378,0.561,4.7,19800
서건창,17  2B,0.33,615,6,0.332,0.403,0.429,4.51,40000
박용택,17  DH,-1.09,596,14,0.344,0.424,0.479,4.49,80000
양의지,17  C,2.13,406,14,0.277,0.373,0.441,4.47,48000
송광민,17  3B,1.7,473,13,0.327,0.356,0.476,4.45,20000
러프,17  1B,-1.3,591,31,0.315,0.396,0.569,4.37,110000
번즈,17  2B,1.7,468,15,0.303,0.361,0.499,4.18,60000
안치홍,17  2B,-0.24,545,21,0.316,0.373,0.513,4.17,22000
버나디나,17  CF,-0.95,621,27,0.32,0.372,0.54,4.17,75000
권희동,17  LF,0.87,554,19,0.286,0.371,0.458,4.1,6800
손시헌,17  SS,1.4,391,5,0.35,0.386,0.447,3.96,40000
강민호,17  C,1.4,515,22,0.285,0.361,0.482,3.89,100000
박해민,17  CF,1.63,638,7,0.284,0.338,0.393,3.8,23000
김민성,17  3B,1.45,530,15,0.282,0.345,0.436,3.74,37000
김재호,17  SS,1.56,331,7,0.293,0.371,0.438,3.66,65000
이명기,17  RF,0.66,512,9,0.332,0.371,0.459,3.59,15000
정근우,17  2B,0.55,442,11,0.33,0.392,0.471,3.54,70000
한동민,17  RF,-0.42,414,29,0.294,0.396,0.614,3.53,7000
나지완,17  DH,-1.28,551,27,0.301,0.405,0.534,3.44,60000
전준우,17  CF,0.38,496,18,0.321,0.37,0.503,3.44,20500
에반스,17  1B,-0.63,581,27,0.296,0.372,0.49,3.35,68000
김태군,17  C,2.59,420,3,0.265,0.333,0.343,3.3,21000
유강남,17  C,1.19,364,17,0.278,0.335,0.475,3.28,10000
이정후,17  CF,-1.17,622,2,0.324,0.395,0.417,3.11,2700
로하스,17  CF,0.15,367,18,0.301,0.351,0.56,2.86,40000
이성열,17  DH,-0.35,318,21,0.307,0.364,0.596,2.85,23000
모창민,17  3B,-0.38,527,17,0.312,0.361,0.485,2.8,11700
하주석,17  SS,1.51,470,11,0.285,0.328,0.44,2.78,9000
김태균,17  DH,-1.35,407,17,0.34,0.413,0.545,2.55,160000
양석환,17  1B,0.54,496,14,0.263,0.326,0.431,2.44,9000
김주찬,17  1B,-0.57,478,12,0.309,0.359,0.489,2.41,60000
이종욱,17  CF,0.31,355,5,0.308,0.371,0.403,2.2,50000
김성현,17  2B,2.01,429,4,0.271,0.335,0.339,2.19,28000
이승엽,17  DH,-0.72,533,24,0.28,0.347,0.517,2.02,100000
박경수,17  2B,0.21,511,15,0.262,0.352,0.43,1.97,23000
오지환,17  SS,0.27,390,8,0.272,0.362,0.407,1.96,35000
로맥,17  1B,-0.6,416,31,0.242,0.344,0.554,1.89,30000
노수광,17  RF,0.73,425,6,0.285,0.34,0.395,1.8,6800
유한준,17  RF,-0.73,497,13,0.306,0.37,0.436,1.78,60000
최주환,17  2B,-0.5,452,7,0.301,0.37,0.424,1.75,10000
이형종,17  LF,0.22,434,9,0.265,0.351,0.385,1.75,6000
김문호,17  LF,0.42,448,2,0.292,0.372,0.356,1.73,14000
민병헌,17  RF,-1.3,520,14,0.304,0.389,0.445,1.69,55000
최재훈,17  C,1.69,309,1,0.257,0.34,0.305,1.63,5800
채태인,17  1B,-1.0,384,12,0.322,0.388,0.5,1.61,30000
정성훈,17  1B,-0.21,321,6,0.312,0.4,0.428,1.6,30000
손주인,17  2B,0.75,334,5,0.279,0.329,0.374,1.6,20000
류지혁,17  SS,1.24,330,3,0.259,0.317,0.36,1.54,5700
정의윤,17  RF,-0.83,381,15,0.321,0.367,0.496,1.53,30000
강한울,17  SS,1.26,448,0,0.303,0.344,0.34,1.48,9000
김동엽,17  LF,-0.34,428,22,0.277,0.329,0.496,1.45,4700
나주환,17  SS,-0.15,452,19,0.291,0.329,0.489,1.4,15000
박정권,17  1B,0.39,345,16,0.256,0.328,0.466,1.21,40000
서동욱,17  2B,-0.24,366,7,0.282,0.352,0.42,1.1,15000
고종욱,17  LF,-0.82,453,8,0.312,0.349,0.462,1.1,12000
윤석민,17  DH,-1.93,586,20,0.312,0.357,0.483,1.09,125000
양성우,17  LF,-0.38,417,2,0.277,0.363,0.372,1.04,8000
이범호,17  3B,-1.87,447,25,0.272,0.365,0.505,0.92,65000
신본기,17  SS,1.04,381,5,0.237,0.313,0.317,0.9,5500
김성욱,17  CF,0.24,347,6,0.247,0.315,0.39,0.87,10000
지석훈,17  2B,0.28,304,6,0.239,0.318,0.366,0.73,14900
김헌곤,17  LF,-0.66,404,9,0.264,0.331,0.388,0.7,5000
이원석,17  3B,-0.37,459,18,0.265,0.323,0.45,0.66,30000
조동찬,17  3B,-0.43,393,10,0.289,0.344,0.439,0.62,40000
오태곤,17  1B,-0.14,410,9,0.283,0.318,0.439,0.46,6000
심우준,17  3B,-0.1,303,4,0.287,0.314,0.395,0.38,5000
문규현,17  SS,0.36,337,6,0.27,0.295,0.391,0.35,12000
장민석,17  CF,0.59,327,1,0.278,0.311,0.318,0.31,10000
오재원,17  2B,-0.04,390,7,0.237,0.332,0.353,0.27,55000
허경민,17  3B,-0.03,422,3,0.257,0.327,0.347,0.26,30000
채은성,17  RF,0.25,372,2,0.267,0.323,0.339,0.25,16000
박석민,17  3B,-1.39,382,14,0.245,0.369,0.423,0.13,75000
장성우,17  C,-0.1,348,8,0.231,0.328,0.357,-0.06,5000
최준석,17  DH,-1.96,464,14,0.291,0.364,0.43,-0.1,40000
최형우,16  LF,-0.69,618,31,0.376,0.464,0.651,7.46,70000
히메네스,16  3B,2.06,579,26,0.308,0.363,0.526,7.14,50000
김태균,16  DH,-0.96,652,23,0.365,0.475,0.569,6.97,160000
최정,16  3B,1.02,606,40,0.288,0.403,0.58,6.63,100000
황재균,16  3B,1.91,559,27,0.335,0.394,0.57,6.5,50000
양의지,16  C,2.22,392,22,0.319,0.404,0.569,6.48,42000
김재환,16  LF,-0.93,568,37,0.325,0.407,0.628,6.29,5000
이용규,16  CF,1.23,530,3,0.352,0.438,0.434,5.6,70000
오지환,16  SS,1.77,472,20,0.28,0.387,0.494,5.58,25000
김주찬,16  LF,0.93,555,23,0.346,0.386,0.566,5.54,50000
손아섭,16  RF,0.49,672,16,0.323,0.418,0.468,5.52,60000
김재호,16  SS,2.61,496,7,0.31,0.389,0.44,5.51,41000
나성범,16  RF,0.78,653,22,0.309,0.388,0.497,5.43,30000
구자욱,16  1B,-0.08,495,14,0.343,0.42,0.547,5.32,8000
오재일,16  1B,0.17,455,27,0.316,0.411,0.592,5.28,9500
서건창,16  2B,1.29,646,7,0.325,0.406,0.441,5.19,26000
테임즈,16  1B,-1.48,529,40,0.321,0.427,0.679,5.18,125000
박건우,16  RF,-0.67,540,20,0.335,0.39,0.55,4.96,7000
강민호,16  C,0.38,460,20,0.323,0.433,0.549,4.77,100000
박경수,16  2B,0.77,476,20,0.313,0.412,0.522,4.75,23000
손시헌,16  SS,2.2,403,5,0.305,0.394,0.422,4.45,40000
나지완,16  LF,-1.03,486,25,0.308,0.451,0.571,4.45,20000
정근우,16  2B,0.66,650,18,0.31,0.381,0.464,4.41,70000
에반스,16  1B,-1.05,481,24,0.308,0.41,0.565,4.35,55000
박민우,16  2B,0.61,515,3,0.343,0.42,0.428,4.35,19000
이범호,16  3B,-0.59,560,33,0.31,0.391,0.562,4.04,65000
김하성,16  SS,1.22,599,20,0.281,0.358,0.477,4.03,16000
김민성,16  3B,0.89,579,17,0.306,0.367,0.502,4.02,22000
박해민,16  CF,1.24,641,4,0.3,0.357,0.41,3.72,15000
서동욱,16  2B,0.19,485,16,0.292,0.386,0.496,3.55,5800
박용택,16  DH,-0.5,578,11,0.346,0.412,0.458,3.47,80000
송광민,16  3B,0.08,494,17,0.325,0.366,0.508,3.31,10000
이지영,16  C,2.79,419,7,0.297,0.328,0.382,3.29,21000
민병헌,16  RF,-1.04,579,16,0.325,0.396,0.495,3.28,35000
대니돈,16  LF,-0.68,497,16,0.295,0.399,0.494,3.23,60000
이승엽,16  DH,-0.94,623,27,0.303,0.38,0.518,3.19,100000
김강민,16  CF,1.11,422,10,0.298,0.371,0.437,3.02,60000
손주인,16  2B,0.86,409,2,0.322,0.385,0.412,2.88,12000
윤석민,16  DH,-0.98,402,19,0.334,0.42,0.545,2.67,125000
마르테,16  3B,0.68,381,22,0.265,0.36,0.517,2.59,75000
고종욱,16  LF,-0.43,566,8,0.334,0.37,0.455,2.47,7700
로사리오,16  1B,-1.67,532,33,0.321,0.367,0.593,2.31,100000
박정권,16  1B,0.56,468,18,0.277,0.337,0.46,2.25,40000
김성현,16  2B,0.09,530,8,0.319,0.366,0.428,2.25,18000
문규현,16  SS,2.07,368,4,0.272,0.333,0.342,2.11,9000
필,16  1B,-1.62,544,20,0.313,0.357,0.511,2.08,90000
이재원,16  C,0.6,472,15,0.29,0.364,0.436,2.07,28000
김용의,16  CF,-0.17,347,1,0.318,0.388,0.412,2.05,6000
백상원,16  2B,0.7,517,3,0.288,0.361,0.364,2.04,4500
채은성,16  RF,0.04,451,9,0.313,0.365,0.444,2.02,5500
이호준,16  DH,-1.01,472,21,0.298,0.396,0.506,2.0,75000
배영섭,16  RF,0.63,381,4,0.266,0.374,0.356,1.98,16000
정의윤,16  RF,-1.12,616,27,0.311,0.347,0.51,1.97,12000
차일목,16  C,2.42,329,3,0.228,0.307,0.29,1.88,15000
김준완,16  LF,0.28,325,1,0.261,0.416,0.308,1.85,3000
이종욱,16  CF,-0.44,517,5,0.305,0.376,0.408,1.83,50000
김성욱,16  LF,0.46,348,15,0.265,0.334,0.467,1.74,5500
박석민,16  3B,-2.81,506,32,0.307,0.404,0.578,1.55,75000
박한이,16  RF,-0.63,401,14,0.301,0.372,0.481,1.53,45000
최준석,16  DH,-0.95,396,19,0.262,0.384,0.468,1.51,40000
이진영,16  DH,-1.05,424,10,0.332,0.403,0.48,1.44,60000
오재원,16  2B,0.57,484,5,0.272,0.358,0.356,1.39,55000
유한준,16  RF,-2.21,460,14,0.336,0.404,0.493,1.37,60000
김호령,16  CF,0.53,514,8,0.267,0.333,0.373,1.37,6000
이병규,16  LF,-0.31,350,7,0.272,0.389,0.4,1.35,80000
이천웅,16  LF,0.05,320,6,0.293,0.376,0.402,1.32,2800
김문호,16  LF,-2.11,599,7,0.325,0.401,0.43,1.18,7000
박동원,16  C,0.91,454,14,0.248,0.304,0.416,1.18,14000
고메즈,16  SS,-0.57,492,21,0.283,0.324,0.489,1.12,65000
강한울,16  SS,1.26,322,0,0.272,0.307,0.336,1.11,6000
이명기,16  LF,1.0,326,1,0.272,0.332,0.334,1.1,18000
정수빈,16  CF,1.01,305,2,0.242,0.319,0.305,1.09,28000
정성훈,16  1B,-1.26,418,6,0.322,0.38,0.435,1.04,50000
김태군,16  C,2.07,395,1,0.232,0.293,0.285,1.01,21000
김주형,16  1B,-1.11,387,19,0.281,0.355,0.499,0.91,5500
이택근,16  CF,-1.26,460,8,0.309,0.389,0.422,0.69,50000
정훈,16  2B,-0.03,439,2,0.262,0.362,0.338,0.5,21000
채태인,16  1B,-0.63,417,7,0.286,0.345,0.397,0.47,30000
허경민,16  3B,-1.77,609,7,0.286,0.36,0.385,0.39,20000
김상호,16  DH,-1.13,415,7,0.29,0.358,0.402,0.1,2800
김상수,16  SS,0.15,401,3,0.271,0.326,0.332,-0.04,31000
오정복,16  LF,-1.21,344,5,0.304,0.358,0.402,-0.31,8000
