이름,연도,dWAR,타석,홈런,타율,출루,장타,war,연봉
박준태,23  RF,-0.13,15,0,0.143,0.2,0.143,-0.2,5000
이성곤,23  DH,-0.04,16,0,0.143,0.2,0.143,-0.2,4800
김호재,23  3B,-0.06,127,0,0.216,0.254,0.276,-0.2,5600
황대인,23  1B,-0.12,199,5,0.213,0.296,0.322,-0.22,13000
전의산,23  1B,-0.13,153,4,0.201,0.294,0.336,-0.22,9000
허관회,23  C,-0.08,7,0,0.0,0.0,0.0,-0.27,3300
이시원,23  RF,0.04,32,0,0.138,0.194,0.138,-0.27,3300
이명기,23  DH,-0.01,42,0,0.175,0.214,0.2,-0.29,5000
박상언,23  C,0.32,161,1,0.2,0.253,0.269,-0.3,3600
신범수,23  C,0.15,100,2,0.17,0.245,0.273,-0.32,3600
전민재,23  3B,-0.21,18,0,0.235,0.235,0.353,-0.32,3600
박정현,23  SS,0.0,113,2,0.181,0.218,0.295,-0.33,4200
이흥련,23  C,-0.19,17,1,0.071,0.188,0.286,-0.35,7000
신윤후,23  LF,0.05,27,0,0.04,0.111,0.04,-0.35,5300
김혜성,22  2B,2.69,566,4,0.318,0.373,0.403,7.11,32000
홍창기,22  RF,0.24,525,1,0.286,0.39,0.355,4.0,32000
장성우,22  C,1.21,420,18,0.26,0.353,0.439,3.85,50000
이대호,22  DH,-2.04,591,23,0.331,0.379,0.502,3.68,80000
푸이그,22  RF,-1.66,547,21,0.277,0.367,0.474,3.52,70000
유강남,22  C,1.06,469,8,0.255,0.326,0.351,3.07,27000
렉스,22  RF,0.05,251,8,0.33,0.41,0.495,2.94,31370
알포드,22  LF,-0.63,323,14,0.286,0.362,0.509,2.43,47700
오재일,22  1B,-0.85,536,21,0.268,0.345,0.491,2.42,60000
황재균,22  3B,-0.59,581,10,0.262,0.335,0.38,1.86,40000
노수광,22  LF,0.72,361,4,0.229,0.299,0.362,1.68,12840
전준우,22  LF,-2.2,517,11,0.304,0.35,0.445,1.55,50000
안재석,22  SS,1.34,264,3,0.213,0.281,0.294,1.24,5800
오태곤,22  LF,0.64,295,4,0.232,0.293,0.338,1.18,10500
김민식,22  C,0.69,266,2,0.221,0.32,0.297,1.16,9500
하주석,22  SS,0.01,483,5,0.258,0.309,0.342,0.96,20090
홍현빈,22  RF,0.82,92,0,0.237,0.326,0.263,0.91,4000
김태군,22  C,-0.31,235,2,0.298,0.358,0.38,0.91,20000
김기환,22  CF,0.55,131,0,0.221,0.31,0.283,0.85,4500
박승규,22  CF,0.7,83,0,0.216,0.244,0.243,0.43,5700
이형종,22  DH,0.22,63,0,0.264,0.323,0.321,0.34,12000
김민수,22  3B,0.2,156,0,0.257,0.32,0.3,0.33,6200
도태훈,22  3B,0.42,163,2,0.216,0.282,0.309,0.31,4000
가르시아,22  2B,-0.17,156,4,0.206,0.308,0.353,0.29,18000
신준우,22  SS,0.39,54,0,0.14,0.288,0.209,0.27,4000
한승택,22  C,0.73,119,1,0.176,0.261,0.225,0.24,8500
김태진,22  1B,0.0,276,0,0.268,0.315,0.295,0.22,10000
이성곤,22  1B,0.2,117,0,0.192,0.308,0.242,0.2,6400
안주형,22  2B,0.33,23,0,0.15,0.182,0.15,0.16,3300
이영빈,22  2B,0.19,83,1,0.184,0.253,0.263,0.13,5500
정진기,22  CF,0.11,59,1,0.189,0.271,0.283,0.13,5500
권동진,22  2B,0.33,40,0,0.132,0.154,0.211,0.13,4200
오준혁,22  RF,0.23,67,0,0.23,0.288,0.262,0.13,3200
신민재,22  CF,0.1,3,0,0.0,0.0,0.0,0.06,5000
전민수,22  DH,-0.06,41,0,0.275,0.293,0.325,0.04,5000
송민섭,22  RF,0.32,72,0,0.156,0.217,0.234,0.01,8100
박민,22  3B,0.02,2,0,0.0,0.0,0.0,0.0,3500
백용환,22  C,0.02,5,0,0.2,0.2,0.4,-0.01,4000
전경원,22  C,0.0,1,0,0.0,0.0,0.0,-0.03,3200
류승현,22  RF,0.05,3,0,0.0,0.0,0.0,-0.03,4000
신범수,22  C,0.06,3,0,0.0,0.0,0.0,-0.04,3600
김호은,22  1B,0.0,2,0,0.0,0.0,0.0,-0.05,4000
신성현,22  LF,0.06,25,1,0.087,0.16,0.217,-0.05,4000
이천웅,22  LF,0.0,23,0,0.2,0.304,0.2,-0.06,10000
권민석,22  3B,0.01,3,0,0.0,0.0,0.0,-0.06,3300
김민수,22  RF,0.04,7,0,0.143,0.143,0.143,-0.07,6200
이태훈,22  DH,0.09,18,0,0.176,0.222,0.176,-0.07,3500
문상인,22  C,-0.01,3,0,0.0,0.0,0.0,-0.08,3200
한석현,22  RF,0.04,10,0,0.222,0.222,0.222,-0.1,3900
허관회,22  DH,-0.11,25,0,0.217,0.25,0.304,-0.1,3370
정범모,22  C,-0.08,7,0,0.143,0.143,0.143,-0.1,4700
이상호,22  2B,-0.11,80,0,0.25,0.299,0.278,-0.13,8500
이흥련,22  C,0.0,55,0,0.133,0.25,0.178,-0.14,9000
최영진,22  3B,0.1,91,2,0.188,0.278,0.313,-0.14,6500
강진성,22  1B,-0.08,94,1,0.163,0.28,0.225,-0.16,13000
강태율,22  C,0.31,38,0,0.094,0.171,0.125,-0.18,3300
정보근,22  C,0.96,226,1,0.191,0.25,0.216,-0.19,3400
이유찬,22  SS,-0.02,31,1,0.241,0.233,0.345,-0.2,6000
허도환,22  C,-0.22,92,1,0.247,0.281,0.341,-0.21,10000
이현석,22  C,-0.04,15,0,0.133,0.133,0.133,-0.22,5000
추재현,22  RF,-0.19,66,0,0.224,0.318,0.293,-0.23,6400
박준태,22  RF,-0.07,84,1,0.157,0.289,0.257,-0.23,5000
문상철,22  DH,-0.27,52,2,0.224,0.269,0.408,-0.24,6600
윤형준,22  1B,0.09,69,1,0.209,0.232,0.269,-0.24,4000
김규성,22  2B,-0.11,52,1,0.18,0.196,0.28,-0.27,4300
장승현,22  C,0.13,109,0,0.208,0.274,0.24,-0.27,7800
이해창,22  C,-0.06,11,0,0.0,0.0,0.0,-0.28,6000
임종찬,22  RF,0.01,57,2,0.189,0.228,0.321,-0.3,3600
김재현,22  3B,-0.29,20,0,0.222,0.222,0.278,-0.3,4000
조수행,22  LF,-0.48,134,1,0.235,0.295,0.311,-0.31,8500
서예일,22  2B,-0.17,27,0,0.16,0.192,0.2,-0.32,3300
이정후,21  RF,0.0,544,7,0.36,0.438,0.522,6.75,55000
강민호,21  C,0.69,462,18,0.291,0.361,0.478,3.91,50000
심우준,21  SS,1.92,460,6,0.268,0.323,0.371,3.54,15500
나성범,21  DH,-0.78,623,33,0.281,0.335,0.509,3.41,78000
서건창,21  2B,1.08,600,6,0.253,0.35,0.343,3.06,22500
오재일,21  1B,-0.19,484,25,0.285,0.366,0.512,2.88,60000
유강남,21  C,0.51,441,11,0.252,0.317,0.375,2.43,30000
김성현,21  SS,0.26,274,6,0.283,0.356,0.422,2.01,25000
박찬호,21  SS,0.98,483,1,0.246,0.331,0.313,1.87,10000
김민식,21  C,1.18,301,3,0.22,0.336,0.288,1.66,8500
김강민,21  CF,0.36,260,8,0.238,0.327,0.404,1.39,20000
한승택,21  C,1.06,239,3,0.217,0.321,0.296,1.25,8500
이원석,21  3B,-0.42,480,9,0.231,0.341,0.346,1.01,30000
장운호,21  CF,0.85,338,0,0.235,0.332,0.27,0.92,3500
김준태,21  C,0.84,149,4,0.195,0.295,0.328,0.91,6500
변상권,21  CF,1.0,171,0,0.239,0.275,0.321,0.77,3500
이명기,21  LF,-0.99,232,2,0.293,0.41,0.387,0.76,27000
김용의,21  1B,0.49,41,0,0.148,0.351,0.222,0.67,10000
이창진,21  CF,0.68,293,3,0.209,0.308,0.285,0.66,7000
정주현,21  2B,0.2,214,3,0.238,0.327,0.337,0.65,14000
신본기,21  SS,0.47,206,1,0.236,0.333,0.299,0.61,9200
김민하,21  LF,0.62,142,1,0.209,0.345,0.287,0.59,4500
허도환,21  C,0.2,125,2,0.276,0.339,0.39,0.55,7500
김태진,21  3B,-0.05,414,1,0.276,0.314,0.341,0.5,8500
허정협,21  LF,0.44,52,0,0.156,0.269,0.156,0.32,7000
이진영,21  RF,0.14,47,2,0.2,0.319,0.45,0.29,3600
권민석,21  3B,0.15,15,0,0.214,0.267,0.357,0.22,3500
노수광,21  LF,-0.07,180,3,0.231,0.309,0.331,0.17,17300
최항,21  2B,0.01,79,0,0.275,0.346,0.333,0.16,7500
최영진,21  3B,-0.19,63,1,0.281,0.349,0.421,0.16,7500
문상철,21  1B,0.11,106,2,0.219,0.292,0.344,0.11,6000
박정음,21  CF,0.36,18,0,0.0,0.167,0.0,0.11,4300
김준완,21  RF,0.07,14,0,0.167,0.286,0.333,0.11,6000
한석현,21  LF,-0.13,26,0,0.286,0.385,0.476,0.09,3200
백동훈,21  RF,0.15,3,0,0.0,0.0,0.0,0.08,3600
강경학,21  SS,0.27,39,0,0.152,0.282,0.152,0.06,8700
최정용,21  2B,0.36,65,0,0.192,0.306,0.212,0.04,3800
오태양,21  SS,0.06,1,0,0.0,0.0,0.0,0.04,3000
유민상,21  1B,-0.26,74,1,0.233,0.378,0.317,0.04,10500
송준석,21  RF,-0.03,55,2,0.235,0.291,0.392,0.03,5000
서예일,21  SS,0.05,1,0,0.0,0.0,0.0,0.02,3500
이재율,21  CF,0.14,17,0,0.2,0.294,0.333,0.01,3100
지석훈,21  3B,0.09,43,0,0.147,0.302,0.176,0.0,10000
강민국,21  2B,0.08,50,0,0.244,0.292,0.289,0.0,5500
권정웅,21  C,0.01,1,0,0.0,0.0,0.0,-0.01,4000
박상언,21  C,0.0,1,0,0.0,0.0,0.0,-0.02,3200
오장한,21  RF,0.01,1,0,0.0,0.0,0.0,-0.02,3000
정범모,21  C,-0.13,23,1,0.211,0.318,0.421,-0.02,5000
유서준,21  SS,0.03,2,0,0.0,0.0,0.0,-0.03,3100
장준원,21  3B,0.02,3,0,0.0,0.0,0.0,-0.03,4500
이상호,21  2B,-0.08,68,0,0.308,0.318,0.338,-0.03,9000
김호재,21  3B,0.11,90,0,0.227,0.322,0.253,-0.04,6000
김응민,21  C,0.0,2,0,0.0,0.0,0.0,-0.05,4900
구본혁,21  3B,0.25,45,0,0.132,0.205,0.184,-0.08,6300
고명준,21  2B,-0.02,5,0,0.0,0.0,0.0,-0.08,3000
김규성,21  2B,0.35,41,0,0.139,0.244,0.167,-0.08,4500
황경태,21  SS,-0.06,1,0,0.0,0.0,0.0,-0.08,3100
홍현빈,21  LF,0.23,12,0,0.182,0.182,0.182,-0.09,3400
백승민,21  1B,-0.01,3,0,0.0,0.0,0.0,-0.09,4700
강로한,21  CF,0.01,35,2,0.121,0.171,0.303,-0.1,3700
박준태,21  CF,-0.29,58,0,0.196,0.362,0.261,-0.11,11000
김도환,21  C,0.17,46,0,0.146,0.222,0.195,-0.13,5200
김민수,21  1B,0.08,7,0,0.0,0.0,0.0,-0.13,4700
국해성,21  RF,0.02,8,0,0.125,0.125,0.125,-0.14,5000
박주홍,21  LF,0.25,56,0,0.106,0.25,0.149,-0.15,3300
김주성,21  2B,-0.31,7,1,0.167,0.286,0.667,-0.16,3100
박정현,21  SS,0.32,120,0,0.196,0.256,0.234,-0.18,3400
박승욱,21  2B,-0.24,6,0,0.333,0.333,0.5,-0.2,8000
김호은,21  1B,0.05,9,0,0.0,0.0,0.0,-0.2,5000
이성우,21  C,0.05,39,0,0.212,0.235,0.212,-0.21,8000
김재현,21  C,-0.12,51,0,0.217,0.265,0.37,-0.25,5000
오명진,21  SS,-0.19,3,0,0.0,0.0,0.0,-0.25,3100
나주환,21  3B,0.15,32,0,0.161,0.156,0.161,-0.26,10000
강태율,21  C,0.08,31,1,0.077,0.194,0.231,-0.26,3200
신준우,21  2B,0.0,51,0,0.167,0.28,0.238,-0.27,3000
이해창,21  C,0.07,60,0,0.167,0.193,0.222,-0.3,6000
로맥,20  1B,-0.65,586,32,0.282,0.399,0.546,5.01,90000
최재훈,20  C,1.22,389,3,0.301,0.383,0.383,3.52,20000
서건창,20  2B,-0.01,595,5,0.277,0.39,0.386,3.4,35000
정수빈,20  CF,0.26,559,5,0.298,0.368,0.396,3.35,34000
알테어,20  CF,-1.05,546,31,0.278,0.352,0.541,3.22,80000
박경수,20  2B,0.39,391,13,0.281,0.381,0.454,2.9,40000
정진호,20  RF,1.03,326,2,0.277,0.348,0.355,2.12,11300
박세혁,20  C,0.59,423,4,0.269,0.348,0.364,2.07,23200
나지완,20  LF,-1.84,556,17,0.291,0.392,0.444,2.01,60000
이학주,20  SS,1.38,243,4,0.228,0.314,0.34,1.45,9000
정은원,20  2B,0.44,303,3,0.248,0.362,0.335,1.07,12000
김민식,20  C,0.93,238,2,0.251,0.31,0.318,0.91,8800
안치홍,20  2B,-0.91,460,8,0.286,0.351,0.413,0.71,29000
송민섭,20  LF,0.51,51,1,0.195,0.292,0.341,0.7,4700
강한울,20  SS,-0.06,122,1,0.305,0.368,0.362,0.65,12000
정주현,20  2B,0.16,371,4,0.247,0.312,0.338,0.6,12500
황윤호,20  3B,0.58,73,0,0.243,0.274,0.286,0.55,5000
김용의,20  1B,0.31,75,1,0.271,0.297,0.357,0.47,10500
하주석,20  SS,-0.12,281,2,0.286,0.323,0.351,0.43,14000
류지혁,20  SS,-0.21,51,1,0.381,0.44,0.524,0.41,10500
송준석,20  LF,0.13,50,1,0.277,0.32,0.447,0.27,4000
임병욱,20  CF,-0.01,41,0,0.27,0.341,0.378,0.17,8800
오선진,20  SS,0.27,222,2,0.234,0.301,0.284,0.13,10500
신본기,20  SS,0.27,123,2,0.217,0.311,0.283,0.13,12500
화이트,20  1B,-0.03,30,1,0.136,0.367,0.318,0.07,13000
유서준,20  SS,0.04,25,1,0.25,0.28,0.417,0.01,3100
장승현,20  C,-0.02,22,0,0.25,0.318,0.4,0.01,3500
김준완,20  RF,0.04,75,1,0.215,0.32,0.277,0.0,8000
김응민,20  C,0.34,85,0,0.224,0.28,0.237,-0.01,3200
김민혁,20  LF,0.15,249,5,0.239,0.312,0.347,-0.03,9000
김회성,20  1B,-0.07,25,0,0.167,0.304,0.222,-0.04,6500
최재원,20  2B,0.03,6,0,0.0,0.0,0.0,-0.08,6000
김재현,20  C,-0.02,3,0,0.0,0.0,0.0,-0.1,5500
장운호,20  CF,-0.04,29,1,0.148,0.207,0.296,-0.1,3800
박준혁,20  RF,-0.04,2,0,0.0,0.0,0.0,-0.12,2900
김병희,20  3B,0.05,22,1,0.143,0.136,0.286,-0.12,3000
양성우,20  LF,-0.05,9,0,0.222,0.222,0.222,-0.13,7000
고장혁,20  SS,0.0,13,0,0.231,0.231,0.231,-0.13,5000
배성근,20  SS,0.11,7,0,0.0,0.0,0.0,-0.14,3200
이택근,20  CF,-0.02,64,0,0.193,0.281,0.281,-0.15,5000
김영환,20  2B,0.19,18,0,0.0,0.059,0.0,-0.16,3300
김재현,20  CF,0.05,14,0,0.143,0.143,0.143,-0.16,5500
고종욱,20  LF,-0.47,288,3,0.283,0.319,0.371,-0.17,17000
이성우,20  C,-0.16,88,3,0.234,0.289,0.364,-0.17,8000
박정음,20  LF,-0.11,47,0,0.186,0.255,0.233,-0.18,4300
서호철,20  2B,0.0,8,0,0.0,0.0,0.0,-0.2,3000
문선재,20  LF,0.04,6,0,0.167,0.167,0.167,-0.21,4500
주효상,20  C,0.18,101,0,0.19,0.296,0.238,-0.21,4000
이동훈,20  CF,0.29,39,0,0.105,0.128,0.105,-0.23,3300
박주홍,20  LF,-0.09,25,0,0.25,0.28,0.333,-0.24,3500
김동한,20  2B,0.02,73,0,0.221,0.274,0.294,-0.24,4500
구본혁,20  3B,0.15,98,1,0.163,0.242,0.221,-0.25,4000
김도환,20  C,0.02,49,0,0.22,0.292,0.268,-0.25,5000
채현우,20  LF,-0.13,24,0,0.13,0.167,0.174,-0.38,3000
이흥련,20  C,0.13,132,3,0.24,0.273,0.32,-0.38,7500
강민국,20  2B,-0.08,120,0,0.224,0.272,0.252,-0.4,4000
박민우,19  2B,1.13,526,1,0.344,0.403,0.434,5.83,38000
심우준,19  SS,2.67,433,3,0.279,0.328,0.34,4.07,8500
정수빈,19  CF,1.25,513,0,0.265,0.354,0.331,3.79,24500
김선빈,19  SS,0.87,447,3,0.292,0.36,0.371,3.57,30000
유한준,19  RF,-1.69,562,14,0.317,0.383,0.443,3.03,60000
이명기,19  RF,0.49,547,2,0.293,0.359,0.353,3.02,22000
서건창,19  2B,-0.43,486,2,0.3,0.373,0.383,2.53,35000
류지혁,19  SS,0.92,316,0,0.25,0.323,0.286,1.78,12500
정주현,19  2B,0.96,425,2,0.231,0.291,0.309,1.18,8000
신본기,19  SS,0.55,413,1,0.256,0.314,0.288,0.9,16000
김용의,19  1B,0.49,210,0,0.218,0.316,0.279,0.72,8500
지성준,19  C,0.41,109,2,0.25,0.284,0.365,0.68,5700
송광민,19  3B,-0.15,486,7,0.264,0.298,0.357,0.67,25000
이흥련,19  C,0.35,44,0,0.31,0.341,0.405,0.6,7500
박승욱,19  1B,0.58,245,3,0.233,0.285,0.323,0.59,6600
스몰린스키,19  RF,-0.34,228,9,0.229,0.298,0.439,0.59,25000
백용환,19  C,0.45,51,2,0.234,0.294,0.404,0.59,4500
한승택,19  C,0.72,288,3,0.223,0.299,0.303,0.59,6000
지석훈,19  3B,0.22,169,2,0.228,0.299,0.329,0.49,15000
백동훈,19  RF,0.67,52,0,0.17,0.25,0.213,0.49,3400
김재현,19  CF,0.19,49,0,0.286,0.348,0.381,0.4,4500
배정대,19  CF,0.69,84,0,0.203,0.28,0.257,0.37,3800
김동한,19  2B,0.15,85,0,0.282,0.333,0.333,0.37,5000
최진행,19  LF,-0.1,129,6,0.231,0.295,0.436,0.36,20000
장승현,19  C,0.51,46,0,0.171,0.239,0.22,0.29,3000
강승호,19  SS,0.5,42,2,0.154,0.195,0.308,0.28,9600
이성우,19  C,0.67,74,0,0.156,0.239,0.203,0.26,7000
강경학,19  SS,-0.11,135,0,0.239,0.341,0.274,0.21,8800
정범모,19  C,0.2,45,2,0.225,0.279,0.4,0.18,6800
이동훈,19  CF,0.14,31,0,0.29,0.29,0.323,0.17,3500
나경민,19  CF,0.39,49,0,0.2,0.265,0.289,0.17,5500
김진곤,19  CF,0.23,34,0,0.267,0.313,0.333,0.16,3300
최준우,19  2B,0.2,36,0,0.212,0.278,0.273,0.15,2900
홍창기,19  RF,0.05,26,0,0.25,0.308,0.333,0.11,3500
최민재,19  LF,0.13,2,0,0.0,0.0,0.0,0.07,2800
박정음,19  LF,0.19,88,0,0.197,0.345,0.254,0.07,4500
김성훈,19  2B,0.43,88,1,0.182,0.25,0.26,0.07,7000
채태인,19  1B,-0.22,182,5,0.251,0.302,0.407,0.05,20000
김사훈,19  C,0.06,1,0,0.0,0.0,0.0,0.04,3900
홍재호,19  SS,0.13,20,0,0.211,0.25,0.211,0.02,4000
윤해진,19  2B,0.01,3,0,0.0,0.0,0.0,0.02,3900
김종민,19  C,0.15,21,1,0.2,0.2,0.35,0.01,5300
김호재,19  2B,0.25,33,0,0.219,0.242,0.25,0.01,3000
오준혁,19  LF,0.01,1,0,0.0,0.0,0.0,-0.01,4200
송성문,19  3B,0.11,335,3,0.227,0.269,0.328,-0.01,7500
정성종,19  P,0.01,1,0,0.0,0.0,0.0,-0.02,3700
주효상,19  C,0.03,30,0,0.207,0.233,0.345,-0.02,4500
김재윤,19  P,0.01,1,0,0.0,0.0,0.0,-0.02,10000
김재현,19  SS,0.04,2,0,0.0,0.0,0.0,-0.02,4500
김창혁,19  C,0.04,2,0,0.0,0.0,0.0,-0.02,3000
문경찬,19  P,0.01,1,0,0.0,0.0,0.0,-0.02,5500
김주형,19  2B,-0.03,1,0,0.0,0.0,0.0,-0.04,4500
박유연,19  C,-0.02,1,0,0.0,0.0,0.0,-0.05,2800
임병욱,19  CF,-0.61,419,0,0.243,0.305,0.314,-0.06,10000
박준혁,19  LF,-0.01,2,0,0.0,0.0,0.0,-0.08,3000
김응민,19  C,-0.02,13,0,0.231,0.231,0.308,-0.09,2900
박헌욱,19  RF,0.0,9,0,0.111,0.111,0.222,-0.1,3000
김지수,19  SS,-0.04,32,0,0.267,0.313,0.333,-0.12,5000
배영섭,19  LF,0.01,80,0,0.225,0.3,0.239,-0.12,13000
최정민,19  2B,0.05,5,0,0.0,0.0,0.0,-0.12,4500
이현동,19  LF,-0.08,2,0,0.0,0.0,0.0,-0.12,2900
서예일,19  SS,-0.06,3,0,0.0,0.0,0.0,-0.13,3100
오영수,19  3B,0.01,8,0,0.125,0.125,0.125,-0.13,3000
김인환,19  1B,0.14,46,0,0.214,0.239,0.238,-0.15,3000
이성곤,19  1B,0.09,28,0,0.179,0.179,0.286,-0.15,3200
김재율,19  3B,0.01,9,0,0.111,0.111,0.111,-0.15,4800
이병규,19  LF,-0.06,22,0,0.158,0.273,0.263,-0.16,9500
유재신,19  LF,-0.2,59,0,0.255,0.328,0.333,-0.17,5700
김준완,19  RF,-0.18,19,0,0.25,0.316,0.25,-0.17,8000
김웅빈,19  3B,-0.19,11,0,0.273,0.273,0.364,-0.19,3700
국해성,19  LF,-0.17,41,0,0.171,0.293,0.257,-0.2,5000
황대인,19  3B,-0.06,28,0,0.2,0.286,0.28,-0.21,3200
박찬도,19  RF,-0.08,34,0,0.281,0.324,0.313,-0.21,5500
정진기,19  RF,-0.05,17,0,0.188,0.235,0.188,-0.22,8200
윌리엄슨,19  RF,-0.82,168,4,0.273,0.327,0.409,-0.23,22500
백진우,19  LF,-0.26,48,0,0.227,0.261,0.295,-0.31,6000
정현,19  SS,0.11,45,0,0.079,0.2,0.079,-0.31,5300
오지환,18  SS,2.54,617,11,0.278,0.354,0.396,4.97,29000
박해민,18  CF,0.84,649,9,0.299,0.36,0.432,3.44,29000
박민우,18  2B,0.41,460,5,0.324,0.383,0.438,3.17,32000
류지혁,18  SS,2.1,280,1,0.268,0.372,0.311,3.09,9500
이명기,18  RF,1.07,502,4,0.302,0.363,0.418,2.83,25000
나지완,18  DH,-0.52,379,26,0.271,0.377,0.574,2.65,60000
김민식,18  C,1.27,365,6,0.245,0.333,0.352,1.97,15000
이지영,18  C,0.62,203,2,0.343,0.406,0.433,1.97,21000
최재훈,18  C,1.44,341,1,0.262,0.337,0.329,1.91,8000
김선빈,18  SS,-0.03,492,4,0.295,0.374,0.373,1.85,28000
박세혁,18  C,0.99,194,3,0.282,0.356,0.406,1.77,10000
심우준,18  3B,2.2,403,4,0.259,0.304,0.371,1.56,6300
김성훈,18  SS,1.51,212,0,0.243,0.321,0.324,1.42,4700
나주환,18  SS,0.12,420,12,0.262,0.339,0.428,1.26,30000
하주석,18  SS,1.26,517,9,0.254,0.3,0.364,0.96,12000
한승택,18  C,0.72,101,3,0.247,0.316,0.416,0.79,7500
문규현,18  SS,0.35,349,6,0.275,0.309,0.399,0.52,18000
박동원,18  C,0.29,128,6,0.248,0.302,0.427,0.48,18000
김문호,18  LF,0.16,115,2,0.25,0.336,0.38,0.42,15000
양성우,18  LF,0.06,236,2,0.254,0.335,0.325,0.35,10000
최진행,18  DH,0.3,154,7,0.213,0.305,0.39,0.35,19000
정범모,18  C,1.08,219,4,0.179,0.25,0.289,0.17,5500
국해성,18  LF,-0.02,28,0,0.333,0.429,0.458,0.14,5000
양종민,18  3B,0.1,15,0,0.286,0.333,0.429,0.14,2900
전민수,18  RF,0.21,35,0,0.172,0.294,0.276,0.13,5100
하준호,18  LF,0.38,26,1,0.136,0.136,0.318,0.12,5700
이대수,18  3B,0.06,6,0,0.2,0.2,0.4,0.1,7000
김종민,18  C,0.14,4,0,0.0,0.0,0.0,0.05,5300
허도환,18  C,0.03,24,1,0.273,0.333,0.409,0.04,6800
이창진,18  CF,0.17,30,0,0.172,0.2,0.207,0.04,3100
김재현,18  C,0.77,234,3,0.228,0.293,0.307,0.04,4500
